layer,name,lat,lng,type,category,watershed,species,b1,spawning_trib,private_flag,serves,parking_notes,coord_source,confidence,source_ref,source_url,notes,drive_min_from_inn,drive_src,nearest_access,river,elev_ft,years,max_temp_F,max_7day_avg_F
b1_water,Gunners Brook,44.205447,-72.506175,,,Stevens Branch,"BKT, BNT, RBT",yes,yes,no,,,VFWD 2017 Table 8,high,Table 8 p.6; narrative p.10,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=6,Important spawning tributary for Stevens Branch trout.,44.3,OSRM,,,,,,
b1_water,Stevens Branch,44.132939,-72.533325,,,Stevens Branch,BKT,yes,no,no,,,VFWD 2017 Table 8,high,Table 8 p.6; narrative p.10,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=6,"B1 from Williamstown upstream; brookies only above Route 63 in South Barre, mixed below.",44.5,OSRM,,,,,,
b1_water,Martins Brook,44.353128,-72.606703,,,North Branch,"BKT, BNT",yes,no,no,,,VFWD 2017 Table 9,high,Table 9 p.6; narrative p.12,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=6,Wild brook and brown trout.,43.3,OSRM,,,,,,
b1_water,Herrick Brook,44.346283,-72.609164,,,North Branch,"BKT, BNT",yes,no,no,,,VFWD 2017 Table 9,high,Table 9 p.6; narrative p.12,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=6,Wild brook and brown trout.,41.7,OSRM,,,,,,
b1_water,Dog River mainstem,44.246156,-72.599111,,,Dog River,"BKT, BNT, RBT",yes,no,no,,,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,"Whole mainstem is B1 and managed as wild trout water; brookies only above Route 12A in Roxbury, mixed below, browns/rainbows dominate below Northfield Falls. Reduced-harvest regs on a 4.3-mile stretch in Berlin (verify current regs). Point is near the mouth.",38.2,OSRM,"Dog River Jacuzzi Natural Area - Berlin VFD lot (2095 VT-12) (69 m, 39.2 min); Roxbury Gap Rd / Warren Mountain Rd (the gap) (1057 m, 13.1 min); Berlin Pond (state fishing access) (2694 m, 39.8 min)",,,,,
b1_water,Felchner Brook,44.125128,-72.715756,,,Dog River,BKT,yes,no,no,,,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,Brookies only above the falls; browns join below.,28.1,OSRM,"Roxbury Gap Rd / Warren Mountain Rd (the gap) (3922 m, 13.1 min)",,,,,
b1_water,Stony Brook (Roxbury),44.119219,-72.681664,,,Dog River,"BKT, BNT, RBT",yes,no,no,,,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,Wild trout; upper Dog River valley.,29.5,OSRM,,,,,,
b1_water,Bull Run,44.117139,-72.672956,,,Dog River,"BKT, BNT, RBT",yes,no,no,,,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,"Wild brook, brown and rainbow trout.",28.1,OSRM,,,,,,
b1_water,Sunny Brook (Roxbury),44.120875,-72.658308,,,Dog River,"BKT, BNT, RBT",yes,no,no,,,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,"Wild brook, brown and rainbow trout.",30.9,OSRM,"Baker Pond (Brookfield) (state fishing access) (152 m, 39.3 min)",,,,,
b1_water,Robinson Brook,44.116064,-72.642978,,,Dog River,"BKT, BNT, RBT",yes,no,no,,,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,"Wild brook, brown and rainbow trout.",34.5,OSRM,,,,,,
b1_water,Union Brook,44.157722,-72.677042,,,Dog River,BKT,yes,no,no,,,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,Wild brook trout; Northfield.,38.6,OSRM,,,,,,
b1_water,Chase Brook (Dog River),44.206727,-72.636622,,,Dog River,"BKT, BNT, RBT",yes,yes,no,,,VFWD 2017 Table 10,high,Table 10 p.7; narrative p.13-14,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,Managed as rainbow spawning water; closed to fishing until June 1 under special regs (verify current regs). Not the Fayston Chase Brook.,40.9,OSRM,"Dog River Jacuzzi Natural Area - Berlin VFD lot (2095 VT-12) (691 m, 39.2 min)",,,,,
b1_water,Mad River (above Warren Village),44.112005,-72.855947,,,Mad River,BKT,yes,no,no,,,Google Places (Warren village) — report coordinate rejected,low,Table 11 p.7; narrative p.14-15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,"REPORT COORDINATE PROBLEM: Table 11 gives 44.175722, -72.661631, which lands in the Dog River valley about 10 miles east — almost certainly a transcription error. Plotted at Warren village instead; say this in the popup. Report: the upper Mad above Warren Village has excellent high-gradient forested habitat and some of the highest trout numbers in the watershed, mostly wild brookies with occasional rainbows, managed for wild trout. Below Warren, warmer water and habitat limit trout to big pools and tributary mouths; rainbows stocked from Warren to the Moretown 8 dam; dams in Warren and Moretown fragment habitat.",13.6,OSRM,"Warren village - covered bridge / Main St (31 m, 13.8 min); Warren Falls lot (3919 Rte 100) (38 m, 15.9 min); Moss Glen Falls pull-off (Granville Gulf, Rte 100) (2316 m, 25.8 min)",,,,,
b1_water,Bradley Brook,44.119490,-72.857950,,,Mad River,BKT,yes,no,no,,,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,Wild brook trout; enters the Mad near Warren village.,12.9,OSRM,"Warren village - covered bridge / Main St (838 m, 13.8 min); Sugarbush - Lincoln Peak base lots (Gate House Ln) (1576 m, 21.7 min); Riverside Park (Warren, Rte 100) (2034 m, 10.6 min)",,,,,
b1_water,Clay Brook,44.135150,-72.895369,,,Mad River,BKT,yes,no,no,,,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,"Wild brook trout. Crashed after a 1998 flood, recovered by 2000, then over 1,000 trout/mile every year 2001-2016 (had once been listed as impaired). Point is up near the Sugarbush base; brook follows Sugarbush Access Rd.",20.9,OSRM,"Sugarbush - Lincoln Peak base lots (Gate House Ln) (96 m, 21.7 min); Riverside Park (Warren, Rte 100) (125 m, 10.6 min); Kingsbury Greenway - Wabanaki Conservation Area parking (500 Rte 100) (415 m, 10.4 min)",,,,,
b1_water,Rice Brook,44.138231,-72.891653,,,Mad River,BKT,yes,no,no,,,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,Wild brook trout; Sugarbush area.,18.2,OSRM,"Sugarbush - Lincoln Peak base lots (Gate House Ln) (858 m, 21.7 min); Riverside Park (Warren, Rte 100) (2709 m, 10.6 min); Kingsbury Greenway - Wabanaki Conservation Area parking (500 Rte 100) (2805 m, 10.4 min)",,,,,
b1_water,Mill Brook (Fayston),44.194164,-72.889842,,,Mad River,"BKT, RBT",yes,no,no,,,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,Wild brook and rainbow trout; parallels Route 17 toward Mad River Glen.,12.1,OSRM,"Phen Basin Trailhead (Battleground Rd, Fayston) (20 m, 13.4 min); Appalachian Gap - Long Trail parking (Rte 17) (132 m, 18.5 min); Mad River Path - Millbrook Trailhead (Harris Hill Rd) (415 m, 11.2 min)",,,,,
b1_water,Chase Brook (Fayston),44.178856,-72.884308,,,Mad River,BKT,yes,no,no,,,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,Wild brook trout; German Flats Rd area / Chase Brook Town Forest. Not the Dog River Chase Brook.,12,OSRM,"Fayston Elementary School lot (German Flats Rd) (95 m, 12.4 min); Sugarbush - Mt Ellen base (Mt Ellen Rd / German Flats Rd) (95 m, 15.5 min); Mad River Path - Millbrook Trailhead (Harris Hill Rd) (314 m, 11.2 min)",,,,,
b1_water,Slide Brook,44.167197,-72.887525,,,Mad River,BKT,yes,no,no,,,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,Wild brook trout; the basin between Lincoln Peak and Mt Ellen.,14.4,OSRM,"Sugarbush - Mt Ellen base (Mt Ellen Rd / German Flats Rd) (1263 m, 15.5 min); Fayston Elementary School lot (German Flats Rd) (196 m, 12.4 min); Mad River Path - Millbrook Trailhead (Harris Hill Rd) (774 m, 11.2 min)",,,,,
b1_water,Shepard Brook,44.236758,-72.821114,,,Mad River,"BKT, BNT, RBT",yes,no,no,,,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,"Wild brook, brown and rainbow trout; northern Fayston, enters the Mad between Waitsfield and Moretown. Upper brook is crossed by the Hedgehog Brook Trail at the Big Basin Rd trailhead.",16.2,OSRM,"Hedgehog Brook Trailhead (end of Big Basin Rd, North Fayston) (73 m, 27.9 min); Mad River Greenway - Meadow Rd trailhead (Waitsfield) (842 m, 8.8 min); Mad River Greenway - Tremblay Rd parking (Waitsfield) (2973 m, 6.5 min)",,,,,
b1_water,Dowsville Brook,44.273039,-72.824189,,,Mad River,"BKT, BNT, RBT",yes,no,no,,,VFWD 2017 Table 11,high,Table 11 p.7; narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,"Wild brook, brown and rainbow trout; Duxbury/Moretown, along Dowsville Rd.",18.5,OSRM,"Mad River Greenway - Meadow Rd trailhead (Waitsfield) (2852 m, 8.8 min)",,,,,
b1_water,Little River - West Branch,44.523892,-72.774686,,,Little River,BKT,yes,no,no,,,VFWD 2017 Table 12,high,Table 12 p.7; narrative p.16,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,"Brookies above the Ranch Brook confluence, brook + brown below; Stowe Mountain Resort withdraws water for snowmaking.",57.6,OSRM,,,,,,
b1_water,Ranch Brook,44.502097,-72.758717,,,Little River,BKT,yes,no,no,,,VFWD 2017 Table 12,high,Table 12 p.7; narrative p.16,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=7,Wild brook trout.,54.7,OSRM,,,,,,
narrative_only,Austin Brook,44.055903,-72.872728,,,Mad River,"BKT, RBT",no,no,no,,,Google Places 2026-09-23,medium,narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=15,Wild brook and rainbow trout (report gives no coordinate). Headwater brook off Route 100 south of Warren; the USFS Austin Brook Trail follows Forest Road 25 up the brook for about 2 miles.,21.4,OSRM,"Austin Brook Trail / Forest Road 25 gate (0 m, 19.8 min); Blueberry Lake Trails parking (1825 Plunkton Rd, East Warren) (2315 m, 16.6 min)",,,,,
narrative_only,Stetson Brook,44.080840,-72.859153,,,Mad River,"BKT, RBT",no,no,no,,,"geocoded 2026-09-24: VHD line, downstream end (no Nominatim hit)",low,narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=15,Wild brook and rainbow trout. Joins the Mad near Austin Brook (Warren/Granville).,17.4,OSRM,"Austin Brook Trail / Forest Road 25 gate (1565 m, 19.8 min); Warren Falls lot (3919 Rte 100) (1675 m, 15.9 min); Blueberry Lake Trails parking (1825 Plunkton Rd, East Warren) (1698 m, 16.6 min)",,,,,
narrative_only,Freeman Brook,44.103507,-72.832765,,,Mad River,"BKT, RBT",no,no,yes,,,Google Places 2026-09-23,medium,narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=15,"Wild brook and rainbow trout. East side of the valley, closest brook to the inn. A Google review says 'Private' — access unknown, ask first.",10.6,OSRM,"Warren village - covered bridge / Main St (342 m, 13.8 min); Warren Falls lot (3919 Rte 100) (2174 m, 15.9 min); Blueberry Lake Trails parking (1825 Plunkton Rd, East Warren) (2175 m, 16.6 min)",,,,,
narrative_only,Lincoln Brook,44.091263,-72.912037,,,Mad River,BKT,no,no,no,,,Google Places 2026-09-23,medium,narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=15,"Wild brook trout. Follows Lincoln Gap Rd (unpaved near the top, closed in winter). 2019 culvert replacement on Lincoln Gap Rd reconnected headwater habitat (Valley Reporter 2019-06-28, https://www.valleyreporter.com/index.php/news/local-news/13423-mad-river-watching-and-fishing).",21.5,OSRM,"Lincoln Gap - Long Trail trailhead (760 m, 23.2 min); Warren Falls lot (3919 Rte 100) (847 m, 15.9 min); Warren village - covered bridge / Main St (919 m, 13.8 min)",,,,,
narrative_only,Folsom Brook,44.127713,-72.789600,,,Mad River,"BKT, BNT, RBT",no,no,no,,,"geocoded 2026-09-24: VHD line, downstream end (Nominatim OSM waterway agrees)",low,narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=15,"Wild brook, brown and rainbow trout; Waitsfield, east side.",10.2,OSRM,"Kingsbury Greenway - Wabanaki Conservation Area parking (500 Rte 100) (1471 m, 10.4 min); Riverside Park (Warren, Rte 100) (1917 m, 10.6 min); Roxbury Gap Rd / Warren Mountain Rd (the gap) (1955 m, 13.1 min)",,,,,
narrative_only,High Bridge Brook,44.176296,-72.778510,,,Mad River,"BKT, BNT, RBT",no,no,no,,,"geocoded 2026-09-24: VHD line, downstream end (Nominatim OSM waterway agrees)",low,narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=15,"Wild brook, brown and rainbow trout; last surveyed 1959.",10.1,OSRM,"Waitsfield covered bridge / Bridge St (Great Eddy) (372 m, 3.6 min); Lareau swimming hole (Rte 100, Waitsfield) (1690 m, 7.8 min); Mad River Greenway - Tremblay Rd parking (Waitsfield) (1960 m, 6.5 min)",,,,,
narrative_only,Pine Brook,44.161712,-72.775716,,,Mad River,"BKT, RBT",no,no,no,,,"geocoded 2026-09-24: VHD line, downstream end (Nominatim OSM waterway agrees)",low,narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=15,"Brookies, with rainbows in the lower reaches; last surveyed 1959. Waitsfield, east side.",12.6,OSRM,"Mad River Greenway - Tremblay Rd parking (Waitsfield) (1022 m, 6.5 min); Mad River Greenway - Meadow Rd trailhead (Waitsfield) (1470 m, 8.8 min)",,,,,
narrative_only,Welder Brook,44.287302,-72.800323,,,Mad River,BKT,no,no,no,,,"geocoded 2026-09-24: VHD line, downstream end (no Nominatim hit)",low,narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=15,Wild brook trout.,18.9,OSRM,"Ward (state fishing access) (2668 m, 20.3 min)",,,,,
narrative_only,Mills Brook,44.080122,-72.837881,,,Mad River,no data,no,no,no,,,Google Places (Blueberry Lake parking) 2026-09-24,low,narrative p.15,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=15,"Listed in the report with no VFWD data. Blueberry Lake in East Warren is a dam on Mills Brook, so the outlet brook starts at the lake; the lake itself gets stocked brook trout (report p.8, USFS access). Move the pin to the outlet below the dam.",16.6,OSRM,"Blueberry Lake Trails parking (1825 Plunkton Rd, East Warren) (0 m, 16.6 min); Austin Brook Trail / Forest Road 25 gate (1262 m, 19.8 min); Warren Falls lot (3919 Rte 100) (2177 m, 15.9 min)",,,,,
narrative_only,Cox Brook,44.234920,-72.716007,,,Dog River,"BKT, RBT",no,no,no,,,"geocoded 2026-09-24: VHD line, downstream end (Nominatim OSM waterway agrees)",low,narrative p.13,https://dec.vermont.gov/sites/dec/files/wsm/mapp/docs/mp_UpperWinooskiWatershedFisheriesSummary_2017-12-15.pdf#page=13,Wild brook and rainbow trout; a dam above the mouth was removed in 2008 for fish passage.,20.2,OSRM,,,,,,
access,Lincoln Gap - Long Trail trailhead,44.094859,-72.928053,trailhead,,,,,,,Lincoln Brook,Small lots at the top of Lincoln Gap Rd; fill on fall weekends. Pull-offs on the way up on the Warren side give brook access. Road unpaved near the top and closed in winter.,GP,high,Google Places; general knowledge (seasonal closure),,"Lincoln Brook starts just below the gap and follows the road down to Warren village. Long Trail north to Mt Abraham, Sunset Ledge spur.",23.2,OSRM,,,,,,
access,Appalachian Gap - Long Trail parking (Rte 17),44.210891,-72.931507,trailhead,,,,,,,Mill Brook (Fayston),Roadside lot at the top of the gap; free.,GP,high,Google Places,,Mill Brook rises on the Fayston side and follows Rte 17 all the way down past Mad River Glen.,18.5,OSRM,,,,,,
access,Mad River Glen base lots (Rte 17),44.202484,-72.917543,parking,,,,,,,Mill Brook (Fayston),"Big lots at the base area, 57 Schuss Pass; normally open off-season, check for events.",GP,high,Google Places,,Mill Brook runs right past the base area along Rte 17.,16,OSRM,,,,,,
access,"Phen Basin Trailhead (Battleground Rd, Fayston)",44.200253,-72.894670,trailhead,,,,,,,Mill Brook (Fayston),"Park in the signed visitor parking just before the covered bridge at the Battleground (off Rte 17), parallel to the road; do not drive over the bridge.",GP,high,Google Places (reviews describe parking and trail),,Trail climbs about 2 miles up an old logging road beside a small cascading brook that drains to Mill Brook (verify the brook's name against the hydrography layer).,13.4,OSRM,,,,,,
access,Mad River Path - Millbrook Trailhead (Harris Hill Rd),44.180921,-72.874625,trailhead,,,,,,,Mill Brook (Fayston); Chase Brook (Fayston),NO PARKING at the trailhead itself (signed). Park across from Fayston Elementary School on German Flats Rd and walk in.,GP,high,https://madriverpath.org/maps ; https://www.madriverpath.org/news ; Google Places reviews,,"Mill Brook Trail: 1.5 mi with a 200-ft bridge over Mill Brook, co-located with the Catamount Trail through Chase Brook Town Forest toward the Battleground. Serves both the Mill Brook and Chase Brook (Fayston) B1 points.",11.2,OSRM,,,,,,
access,Fayston Elementary School lot (German Flats Rd),44.179671,-72.885404,parking,,,,,,,Mill Brook (Fayston); Chase Brook (Fayston),The sanctioned parking for the Millbrook Trailhead per signage; avoid school hours.,"geocoded 2026-09-24: Nominatim OSM way/569773662: Fayston Elementary School, 782, German Flats Road, Fayston, Warren, Washington C",low,Google Places reviews on the trailhead listing,,"Geocode: Fayston Elementary School, German Flats Rd, Fayston VT.",12.4,OSRM,,,,,,
access,Sugarbush - Lincoln Peak base lots (Gate House Ln),44.136162,-72.907862,parking,,,,,,,Clay Brook; Rice Brook,Large lots at 62 Gate House Ln off Sugarbush Access Rd; free outside ski season.,GP,high,Google Places,,Clay Brook's B1 survey point is about 1 km east along the access road; Rice Brook about 1.3 km. Clay Brook follows Sugarbush Access Rd down to the Mad.,21.7,OSRM,,,,,,
access,Sugarbush - Mt Ellen base (Mt Ellen Rd / German Flats Rd),44.177398,-72.901691,parking,,,,,,,Slide Brook; Chase Brook (Fayston),Lots at 626 Mt Ellen Rd; open off-season. German Flats Rd pull-offs.,GP,high,Google Places,,Slide Brook basin is about 1.5 km south; the Chase Brook (Fayston) point is about 1.4 km east along German Flats Rd.,15.5,OSRM,,,,,,
access,"Hedgehog Brook Trailhead (end of Big Basin Rd, North Fayston)",44.248419,-72.873399,trailhead,,,,,,,Shepard Brook,Marked lot before the steel gate at the end of the drivable road; trail crosses private land — obey no-parking signs and don't block the gate.,GP,high,https://www.greenmountainclub.org/hiking/hiking-recommendations/peoples-choice-leaf-peeping-foliage-vermont/ ; https://madrivervalley.com/attraction/burnt-rock-mountain/ ; https://www.pchapin.org/100highest/burnt-rock.html,,The trail immediately crosses Shepard Brook (ladder + stepping stones; a ford in high water) then climbs beside Hedgehog Brook to the Long Trail / Burnt Rock. Directions: North Fayston Rd west from Rte 100 (4.5 mi north of Rte 17); dirt after 2.5 mi; straight at the 4-way at 4.0 mi onto Big Basin Rd; trailhead at 5.0 mi.,27.9,OSRM,,,,,,
access,"Blueberry Lake Trails parking (1825 Plunkton Rd, East Warren)",44.080122,-72.837881,parking,,,,,,,Mills Brook,"USFS lot on the east side of Plunkton Rd; trailheads across the road. From Warren Main St: Brook Rd 1.9 mi, right on Plunkton Rd 1.8 mi.",GP,high,https://www.trailfinder.info/trails/trail/blueberry-lake-gmnf ; https://www.madriverriders.org/trails.html ; https://birdinghotspots.org/hotspot/L751883,,Closest USFS lot to the inn (about 10 min). The lake's dam is on Mills Brook; the lake is stocked with brook trout (report p.8). Gentle multi-use trail loops.,16.6,OSRM,,,,,,
